utt_id,path,target,corpus,split,attack,bona_fide_source,source_id,speaker_id,generator_id,channel_id,language,platform_id,hf_path
kwokbona/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0000665_0000685.wav,datasets/13_KWOK_BONA/data/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0000665_0000685.wav,0,kwokbona,test,bonafide,ami_ihm,ami-en2002a-mee073,ami-mee073,NA,h00,en,NA,NA
kwokbona/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0002820_0003016.wav,datasets/13_KWOK_BONA/data/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0002820_0003016.wav,0,kwokbona,test,bonafide,ami_ihm,ami-en2002a-mee073,ami-mee073,NA,h00,en,NA,NA
kwokbona/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0024746_0024904.wav,datasets/13_KWOK_BONA/data/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0024746_0024904.wav,0,kwokbona,test,bonafide,ami_ihm,ami-en2002a-mee073,ami-mee073,NA,h00,en,NA,NA
kwokbona/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0030633_0030899.wav,datasets/13_KWOK_BONA/data/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0030633_0030899.wav,0,kwokbona,test,bonafide,ami_ihm,ami-en2002a-mee073,ami-mee073,NA,h00,en,NA,NA
kwokbona/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0031789_0031923.wav,datasets/13_KWOK_BONA/data/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0031789_0031923.wav,0,kwokbona,test,bonafide,ami_ihm,ami-en2002a-mee073,ami-mee073,NA,h00,en,NA,NA
kwokbona/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0051365_0051759.wav,datasets/13_KWOK_BONA/data/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0051365_0051759.wav,0,kwokbona,test,bonafide,ami_ihm,ami-en2002a-mee073,ami-mee073,NA,h00,en,NA,NA
kwokbona/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0060434_0060466.wav,datasets/13_KWOK_BONA/data/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0060434_0060466.wav,0,kwokbona,test,bonafide,ami_ihm,ami-en2002a-mee073,ami-mee073,NA,h00,en,NA,NA
kwokbona/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0070776_0071251.wav,datasets/13_KWOK_BONA/data/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0070776_0071251.wav,0,kwokbona,test,bonafide,ami_ihm,ami-en2002a-mee073,ami-mee073,NA,h00,en,NA,NA
kwokbona/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0072507_0072576.wav,datasets/13_KWOK_BONA/data/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0072507_0072576.wav,0,kwokbona,test,bonafide,ami_ihm,ami-en2002a-mee073,ami-mee073,NA,h00,en,NA,NA
kwokbona/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0092786_0092813.wav,datasets/13_KWOK_BONA/data/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0092786_0092813.wav,0,kwokbona,test,bonafide,ami_ihm,ami-en2002a-mee073,ami-mee073,NA,h00,en,NA,NA
kwokbona/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0093531_0093627.wav,datasets/13_KWOK_BONA/data/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0093531_0093627.wav,0,kwokbona,test,bonafide,ami_ihm,ami-en2002a-mee073,ami-mee073,NA,h00,en,NA,NA
kwokbona/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0104422_0104524.wav,datasets/13_KWOK_BONA/data/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0104422_0104524.wav,0,kwokbona,test,bonafide,ami_ihm,ami-en2002a-mee073,ami-mee073,NA,h00,en,NA,NA
kwokbona/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0104872_0105003.wav,datasets/13_KWOK_BONA/data/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0104872_0105003.wav,0,kwokbona,test,bonafide,ami_ihm,ami-en2002a-mee073,ami-mee073,NA,h00,en,NA,NA
kwokbona/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0109389_0109550.wav,datasets/13_KWOK_BONA/data/ami_ihm/audios/eval_ami_en2002a_h00_mee073_0109389_0109550.wav,0,kwokbona,test,bonafide,ami_ihm,ami-en2002a-mee073,ami-mee073,NA,h00,en,NA,NA
